Subject Number, 0, Age,
Test condition, Round Number, SNR, Number of words correct, File loaded
3, 13, 32.000000,0, ASLQ0108.wav
1, 3, 12.000000,0, ASLQ0104.wav
3, 1, 10.000000,0, ASLQ0103.wav
3, 2, 12.000000,0, ASLQ0101.wav
3, 3, 14.000000,0, ASLQ0105.wav
3, 4, 16.000000,0, ASLQ0109.wav
3, 5, 18.000000,0, ASLQ0107.wav
3, 6, 20.000000,0, ASLQ0106.wav
3, 7, 22.000000,0, ASLQ0102.wav
3, 8, 24.000000,0, ASLQ0102.wav
3, 9, 26.000000,0, ASLQ0102.wav
3, 10, 28.000000,0, ASLQ0102.wav
3, 11, 30.000000,0, ASLQ0102.wav
3, 12, 32.000000,0, ASLQ0102.wav
