Subject Number, 0, Age,
Tst condition, Round Number, SNR, Number of words correct, File loaded
2, 12, 32.000000,0, ASLQ0101.wav
2, 13, 34.000000,0, ASLQ0103.wav
2, 1, 12.000000,0, ASLQ0106.wav
2, 2, 14.000000,0, ASLQ0104.wav
2, 3, 16.000000,0, ASLQ0107.wav
2, 4, 18.000000,0, ASLQ0110.wav
2, 5, 20.000000,0, ASLQ0105.wav
2, 6, 22.000000,0, ASLQ0108.wav
2, 7, 24.000000,0, ASLQ0109.wav
2, 8, 26.000000,0, ASLQ0109.wav
2, 9, 28.000000,0, ASLQ0109.wav
2, 10, 30.000000,0, ASLQ0109.wav
2, 11, 32.000000,0, ASLQ0109.wav
