Subject Number, 0, Age,
Tst condition, Round Number, SNR, Number of words correct, File loaded
1, 6, 4.000000,0, ASLQ0104.wav
1, 7, 6.000000,0, ASLQ0102.wav
1, 8, 8.000000,0, ASLQ0101.wav
1, 9, 10.000000,0, ASLQ0103.wav
1, 10, 12.000000,0, ASLQ0110.wav
1, 0, 10.000000,0, ASLQ0106.wav
2, 0, 10.000000,0, ASLQ0102.wav
2, 1, 12.000000,0, ASLQ0108.wav
2, 2, 14.000000,0, ASLQ0101.wav
2, 3, 16.000000,0, ASLQ0101.wav
3, 0, 10.000000,0, ASLQ0101.wav
1, 0, 10.000000,3, ASLQ0101.wav
1, 1, 4.000000,3, ASLQ0109.wav
1, 2, -2.000000,0, ASLQ0109.wav
1, 3, 0.000000,0, ASLQ0109.wav
1, 4, 2.000000,0, ASLQ0109.wav
1, 5, 4.000000,0, ASLQ0109.wav
