Subject Number, 0, Age,
Test condition, Round Number, SNR, Number of words correct, File loaded
2, 6, 18.000000,0, bkbgl03s06.wav
2, 7, 20.000000,0, bkbgl06s12.wav
2, 8, 22.000000,0, bkbgl05s01.wav
2, 9, 24.000000,0, bkbgl03s13.wav
2, 10, 26.000000,0, bkbgl05s02.wav
2, 11, 28.000000,0, bkbgl03s12.wav
2, 12, 30.000000,0, bkbgl02s07.wav
2, 13, 32.000000,0, bkbgl02s13.wav
2, 14, 34.000000,0, bkbgl02s10.wav
2, 15, 36.000000,0, bkbgl04s03.wav
2, 16, 38.000000,0, bkbgl05s13.wav
2, 17, 40.000000,0, bkbgl01s05.wav
2, 18, 42.000000,0, bkbgl04s14.wav
2, 19, 44.000000,0, bkbgl03s08.wav
2, 20, 46.000000,0, bkbgl01s06.wav
2, 21, 48.000000,0, bkbgl05s11.wav
2, 22, 50.000000,0, bkbgl01s02.wav
2, 23, 52.000000,0, bkbgl02s02.wav
2, 24, 54.000000,0, bkbgl03s07.wav
2, 25, 56.000000,0, bkbgl03s16.wav
2, 26, 58.000000,0, bkbgl04s01.wav
2, 27, 60.000000,0, bkbgl04s15.wav
2, 24, 54.000000,0, bkbgl03s04.wav
2, 25, 56.000000,0, bkbgl05s09.wav
2, 26, 58.000000,0, bkbgl05s05.wav
2, 27, 60.000000,0, bkbgl03s15.wav
2, 28, 62.000000,0, bkbgl06s07.wav
2, 29, 64.000000,0, bkbgl01s04.wav
2, 30, 66.000000,0, bkbgl02s04.wav
2, 31, 68.000000,0, bkbgl03s03.wav
2, 32, 70.000000,0, bkbgl03s08.wav
2, 33, 72.000000,0, bkbgl04s05.wav
2, 34, 74.000000,0, bkbgl01s15.wav
2, 35, 76.000000,0, bkbgl03s02.wav
2, 36, 78.000000,0, bkbgl05s01.wav
2, 37, 80.000000,0, bkbgl04s07.wav
2, 38, 82.000000,0, bkbgl03s16.wav
2, 39, 84.000000,0, bkbgl04s16.wav
2, 40, 86.000000,0, bkbgl06s03.wav
2, 41, 88.000000,0, bkbgl02s06.wav
2, 42, 90.000000,0, bkbgl02s13.wav
2, 43, 92.000000,0, bkbgl01s02.wav
2, 44, 94.000000,0, bkbgl05s06.wav
2, 45, 96.000000,0, bkbgl04s12.wav
2, 46, 98.000000,0, bkbgl05s16.wav
2, 47, 100.000000,0, bkbgl04s14.wav
2, 48, 102.000000,0, bkbgl02s14.wav
2, 49, 104.000000,0, bkbgl05s04.wav
2, 50, 106.000000,0, bkbgl02s09.wav
2, 51, 108.000000,0, bkbgl03s12.wav
2, 52, 110.000000,0, bkbgl01s07.wav
2, 53, 112.000000,0, bkbgl02s10.wav
2, 54, 114.000000,0, bkbgl03s09.wav
2, 55, 116.000000,0, bkbgl05s12.wav
2, 56, 118.000000,0, bkbgl06s02.wav
2, 57, 120.000000,0, bkbgl01s03.wav
2, 58, 122.000000,0, bkbgl03s14.wav
2, 59, 124.000000,0, bkbgl02s12.wav
2, 60, 126.000000,0, bkbgl04s08.wav
2, 61, 128.000000,0, bkbgl04s09.wav
2, 62, 130.000000,0, bkbgl05s07.wav
2, 63, 132.000000,0, bkbgl06s05.wav
2, 64, 134.000000,0, bkbgl06s10.wav
2, 65, 136.000000,0, bkbgl04s13.wav
2, 66, 138.000000,0, bkbgl01s11.wav
2, 67, 140.000000,0, bkbgl02s15.wav
2, 68, 142.000000,0, bkbgl03s10.wav
2, 69, 144.000000,0, bkbgl01s05.wav
2, 70, 146.000000,0, bkbgl03s13.wav
2, 71, 148.000000,0, bkbgl06s09.wav
2, 72, 150.000000,0, bkbgl04s01.wav
2, 73, 152.000000,0, bkbgl05s08.wav
2, 74, 154.000000,0, bkbgl03s01.wav
2, 75, 156.000000,0, bkbgl06s12.wav
2, 76, 158.000000,0, bkbgl04s03.wav
2, 77, 160.000000,0, bkbgl02s02.wav
2, 78, 162.000000,0, bkbgl04s15.wav
2, 79, 164.000000,0, bkbgl01s09.wav
2, 80, 166.000000,0, bkbgl01s01.wav
2, 81, 168.000000,0, bkbgl01s12.wav
2, 82, 170.000000,0, bkbgl01s12.wav
2, 83, 172.000000,0, bkbgl01s12.wav
2, 84, 174.000000,0, bkbgl01s12.wav
2, 85, 176.000000,0, bkbgl01s12.wav
2, 86, 178.000000,0, bkbgl01s12.wav
2, 87, 180.000000,0, bkbgl01s12.wav
2, 88, 182.000000,0, bkbgl01s12.wav
2, 89, 184.000000,0, bkbgl01s12.wav
2, 90, 186.000000,0, bkbgl01s12.wav
2, 91, 188.000000,0, bkbgl01s12.wav
2, 92, 190.000000,0, bkbgl01s12.wav
2, 93, 192.000000,0, bkbgl01s12.wav
2, 94, 194.000000,0, bkbgl01s12.wav
2, 95, 196.000000,0, bkbgl01s12.wav
2, 96, 198.000000,0, bkbgl01s12.wav
2, 97, 200.000000,0, bkbgl01s12.wav
2, 98, 202.000000,0, bkbgl01s12.wav
2, 99, 204.000000,0, bkbgl01s12.wav
2, 100, 206.000000,0, bkbgl01s12.wav
2, 101, 208.000000,0, bkbgl01s12.wav
2, 1, 10.000000,0, bkbgl01s05.wav
2, 2, 12.000000,0, bkbgl03s04.wav
2, 3, 14.000000,0, bkbgl03s04.wav
2, 4, 16.000000,0, bkbgl03s04.wav
2, 5, 18.000000,0, bkbgl03s04.wav
1, 107, 220.000000,0, bkbgl05s04.wav
1, 108, 222.000000,0, bkbgl05s04.wav
1, 109, 224.000000,0, bkbgl05s04.wav
1, 110, 226.000000,0, bkbgl05s04.wav
1, 111, 228.000000,0, bkbgl05s04.wav
1, 112, 230.000000,0, bkbgl05s04.wav
1, 113, 232.000000,0, bkbgl05s04.wav
1, 114, 234.000000,0, bkbgl05s04.wav
1, 115, 236.000000,0, bkbgl05s04.wav
1, 116, 238.000000,0, bkbgl05s04.wav
2, 1, 10.000000,0, bkbgl05s04.wav
2, 2, 12.000000,0, bkbgl05s04.wav
0, 3, 14.000000,0, bkbgl01s04.wav
0, 4, 16.000000,0, bkbgl01s12.wav
