Subject Number, 0, Age,
Test condition, Round Number, SNR, Number of words correct, File loaded
1, 1, 10.000000,0, ASLQ0110.wav
1, 2, 12.000000,3, ASLQ0109.wav
1, 3, 10.000000,3, ASLQ0108.wav
1, 4, 4.000000,3, ASLQ0106.wav
1, 5, -2.000000,3, ASLQ0107.wav
1, 6, -8.000000,3, ASLQ0102.wav
1, 7, -14.000000,3, ASLQ0103.wav
1, 8, -20.000000,0, ASLQ0110.wav
1, 9, -14.000000,0, ASLQ0104.wav
1, 10, -8.000000,0, ASLQ0104.wav
1, 11, -2.000000,0, ASLQ0104.wav
1, 12, 4.000000,0, ASLQ0104.wav
1, 13, 10.000000,0, ASLQ0104.wav
