Subject Number, 0, Age,
Test condition, Round Number, SNR, Number of words correct, File loaded
0, 2, 10.000000,0, bkbgl01s03.wav
0, 3, 12.000000,0, bkbgl01s03.wav
0, 4, 14.000000,0, bkbgl01s03.wav
0, 5, 16.000000,0, bkbgl01s03.wav
0, 6, 18.000000,0, bkbgl01s03.wav
0, 7, 20.000000,0, bkbgl01s03.wav
0, 8, 22.000000,0, bkbgl01s03.wav
0, 9, 24.000000,0, bkbgl01s03.wav
0, 10, 26.000000,0, bkbgl01s03.wav
0, 11, 28.000000,0, bkbgl01s03.wav
