Test condition, Round Number, SNR, Number of words correct, File loaded
1, 0, 10.000000,3, bkbgl02s14.wav
1, 0, 8.000000,3, bkbgl05s09.wav
1, 0, 6.000000,0, bkbgl03s14.wav
1, 0, 8.000000,0, bkbgl04s13.wav
2, 0, 10.000000,3, bkbgl02s14.wav
2, 0, 8.000000,0, bkbgl05s09.wav
2, 0, 10.000000,3, bkbgl03s14.wav
