Test condition, Round Number, SNR, Number of words correct, File loaded, TimeStamp
0, 0, 0.000000,0, %s, 13:40:09:57
3, 1, 10.000000,0, bkbgl04s02.wav, 13:40:09:57
3, 2, 12.000000,0, bkbgl01s12.wav, 13:40:09:57
3, 3, 14.000000,0, bkbgl05s14.wav, 13:40:09:57
0, 0, 0.000000,0, %s, 13:40:31:27
4, 1, 10.000000,3, bkbgl04s02.wav, 13:40:40:29
4, 2, 8.000000,3, bkbgl01s12.wav, 13:40:43:58
4, 3, 6.000000,0, bkbgl05s14.wav, 13:40:47:28
4, 4, 8.000000,3, bkbgl02s08.wav, 13:40:50:58
