Subject Number, 0, Age,
Test condition, Round Number, SNR, Number of words correct, File loaded
1, 2, 10.000000,0, bkbgl03s06.wav
1, 3, 12.000000,0, bkbgl05s06.wav
1, 4, 14.000000,0, bkbgl02s12.wav
1, 5, 16.000000,0, bkbgl05s11.wav
1, 6, 18.000000,0, bkbgl06s12.wav
1, 7, 20.000000,0, bkbgl04s04.wav
1, 8, 22.000000,0, bkbgl06s05.wav
1, 9, 24.000000,0, bkbgl05s14.wav
1, 10, 26.000000,0, bkbgl02s05.wav
1, 11, 28.000000,0, bkbgl02s14.wav
3, 9, 26.000000,0, ASLQ0102.wav
3, 10, 28.000000,0, ASLQ0102.wav
3, 11, 30.000000,0, ASLQ0107.wav
3, 12, 32.000000,0, ASLQ0107.wav
1, 1, 10.000000,0, ASLQ0104.wav
1, 2, 12.000000,0, ASLQ0104.wav
0, 3, 14.000000,0, ASLQ0104.wav
0, 4, 16.000000,0, ASLQ0104.wav
1, 1, 10.000000,0, ASLQ0107.wav
1, 2, 12.000000,0, ASLQ0102.wav
1, 3, 14.000000,0, ASLQ0102.wav
1, 4, 16.000000,0, ASLQ0102.wav
