Subject Number, 0, Age,
Test condition, Round Number, SNR, Number of words correct, File loaded
2, 2, 10.000000,0, bkbgl02s04.wav
2, 3, 4.000000,0, bkbgl04s13.wav
2, 4, -2.000000,0, bkbgl04s04.wav
2, 5, 0.000000,0, bkbgl02s16.wav
2, 6, 2.000000,0, bkbgl01s08.wav
2, 7, 4.000000,0, bkbgl04s01.wav
2, 8, 2.000000,0, bkbgl04s01.wav
1, 9, 24.000000,0, bkbgl04s12.wav
1, 10, 26.000000,0, bkbgl01s07.wav
1, 11, 28.000000,0, bkbgl03s13.wav
1, 12, 30.000000,0, bkbgl04s14.wav
1, 13, 32.000000,0, bkbgl01s02.wav
1, 14, 34.000000,0, bkbgl04s11.wav
1, 15, 36.000000,0, bkbgl04s15.wav
1, 16, 38.000000,0, bkbgl01s12.wav
1, 17, 40.000000,0, bkbgl03s08.wav
1, 18, 42.000000,0, bkbgl03s14.wav
1, 19, 44.000000,0, bkbgl03s14.wav
1, 20, 46.000000,0, bkbgl04s09.wav
1, 21, 48.000000,0, bkbgl01s16.wav
1, 22, 50.000000,0, bkbgl02s07.wav
1, 23, 52.000000,0, bkbgl01s05.wav
